Plant_Name,Scientific_Name,Time_to_Flower(Days),Native_Region
Bittersweet Vine,Celastrus scandens,365-730,North America/Eurasia
Black Ash,Fraxinus nigra,1825-3650,Northern North America
Black Bean,Phaseolus vulgaris,90-100,Central & South America
Black Cherry,Prunus serotina,730-1460,Eastern North America
Black Chokeberry,Aronia melanocarpa,730-1460,Eastern North America
Black Gum,Nyssa sylvatica,1825-3650,Eastern North America
Black Locust,Robinia pseudoacacia,1825-3650,North America
Black Mustard,Brassica nigra,365-730,Europe/Asia
Black Nightshade,Solanum nigrum,60-90,Europe/Asia
Black Pepper,Piper nigrum,1095-1460,India
Black Salsify,Scorzonera hispanica,120-150,Southern Europe
Black Sapote,Diospyros digyna,730-1095,Central America
Black Spruce,Picea mariana,1825-3650,Northern North America
Black Walnut,Juglans nigra,1825-3650,Eastern North America
Black-eyed Susan,Rudbeckia hirta,70-90,North America
Black-eyed Susan Vine,Thunbergia alata,60-90,Eastern Africa
Blackberry,Rubus fruticosus,365-730,Europe/North America
Blackcurrant,Ribes nigrum,365-730,Northern Europe/Asia
Bladderwort,Utricularia vulgaris,30-90,Worldwide (aquatic/wetland areas)
Blanket Flower,Gaillardia pulchella,70-100,Americas
Blazing Star,Liatris spicata,365-730,Central United States
Bleeding Heart,Lamprocapnos spectabilis,60-90,Asia/North America
Bloodroot,Sanguinaria canadensis,365,Eastern North America
Blue Chalksticks,Senecio serpens,120-180,South Africa
Blue Cohosh,Caulophyllum thalictroides,365,North America
Blue False Indigo,Baptisia australis,1460,Central/Eastern North America
Blue Fescue,Festuca glauca,365-730,Europe
Blue Flag Iris,Iris versicolor,365,North America
Blue Grama,Bouteloua gracilis,365-730,North America
Blue-eyed Grass,Sisyrinchium angustifolium,60-90,North America
Bluebell,Hyacinthoides non-scripta,60-90,Europe/Asia
Blueberry,Vaccinium corymbosum,730-1095,North America
Bog Bean,Menyanthes trifoliata,60-90,Northern Hemisphere (various)
Boneset,Eupatorium perfoliatum,365-730,North America
Boniato,Ipomoea batatas,90-120,South America
Borage,Borago officinalis,50-70,Mediterranean
Boston Fern,Nephrolepis exaltata,180-270,Americas
Boston Ivy,Parthenocissus tricuspidata,730,East Asia
Bottle Palm,Hyophorbe lagenicaulis,1460-1825,Mascarene Islands
Bottlebrush Grass,Elymus hystrix,730,North America
Bougainvillea,Bougainvillea glabra,90-120,South America
Boxelder,Acer negundo,1825-3650,North America
Boxwood,Buxus sempervirens,1460,Europe/Asia/Africa
Boysenberry,Rubus ursinus × Rubus idaeus,365-730,California (cultivar)
Bracken Fern,Pteridium aquilinum,180-365,Worldwide (various)
Brazil Nut,Bertholletia excelsa,2190-2920,South America
Breadfruit,Artocarpus altilis,1095-1460,New Guinea/Southeast Asia
Breadnut,Brosimum alicastrum,1095-1460,Central America
Broad Bean,Vicia faba,80-100,Mediterranean/Western Asia
Broccoli,Brassica oleracea var. italica,65-70,Mediterranean
Brodiaea,Brodiaea spp.,90-120,Western North America
Bromeliad,Bromeliaceae spp.,90-120,Central & South America
Brown Mustard,Brassica juncea,365-730,Asia
Brunnera,Brunnera macrophylla,90-120,Eastern Europe/Asia
Brussels Sprouts,Brassica oleracea var. gemmifera,90-100,Northern Europe
Buckeye,Aesculus glabra,1825-3650,North America
Buffalograss,Buchloe dactyloides,365-730,North America
Bulrush,Schoenoplectus spp.,60-120,Worldwide (various)
Bun Long Taro,Colocasia esculenta,180-210,Asia
Bunya Bunya,Araucaria bidwillii,4380-10950,Eastern Australia
Bur Oak,Quercus macrocarpa,1825-3650,North America
Bur-reed,Sparganium erectum,90-120,Northern Hemisphere (various)
Burdock,Arctium lappa,60-90,Europe/Asia
Burro’s Tail,Sedum morganianum,365,Mexico/Honduras
Buttercup,Ranunculus spp.,60-90,Europe/Asia/North America
Butterfly Bush,Buddleja davidii,60-120,China
Butterfly Weed,Asclepias tuberosa,365,North America
Butternut,Juglans cinerea,1825-3650,Eastern North America
Butternut Squash,Cucurbita moschata,80-100,Central & North America
Butterwort,Pinguicula vulgaris,365-730,Europe/Asia/North America
Buttonbush,Cephalanthus occidentalis,730,Eastern North America
Cabbage,Brassica oleracea var. capitata,65-100,Europe
Cabomba,Cabomba caroliniana,60-90,Americas
Cacao,Theobroma cacao,1095-1460,Central/South America
Caladium,Caladium bicolor,70-90,South America
Calathea,Calathea spp.,60-120,South America
Calendula,Calendula officinalis,40-60,Southern Europe
Calla Lily,Zantedeschia aethiopica,90-120,Africa
Camassia,Camassia quamash,90-120,Western North America
Canada Anemone,Anemone canadensis,60-90,North America
Canada Wild Rye,Elymus canadensis,90-120,North America
Canby’s Dropwort,Oxypolis canbyi,60-90,Southeastern United States
Candelabra Cactus,Echinopsis pachanoi,365-730,South America
Candytuft,Iberis sempervirens,50-70,Southern Europe
Canistel,Pouteria campechiana,730-1095,Central America
Canna,Canna indica,90-120,Americas (Southern US to Argentina)
Cantaloupe,Cucumis melo var. cantalupensis,70-100,Africa/Southwest Asia
Cape Sundew,Drosera capensis,365-730,South Africa
Caraway,Carum carvi,70-90,Europe/Western Asia
Cardamom,Elettaria cardamomum,1095-1460,India/Sri Lanka
Cardinal Flower,Lobelia cardinalis,365-730,North America
Cardoon,Cynara cardunculus,120-150,Mediterranean
Carnation,Dianthus caryophyllus,120-150,Southern Europe
Carolina Jessamine,Gelsemium sempervirens,90-120,Southeastern United States
Carpathian Walnut,Juglans regia,1825-3650,Eastern Europe/Asia
Carrot,Daucus carota,60-80,Europe/Southwest Asia
Cassava,Manihot esculenta,210-270,South America
Cast Iron Plant,Aspidistra elatior,730-1095,Japan/Taiwan
Castor Bean Plant,Ricinus communis,60-90,Northeastern Africa
Castor Oil Plant,Ricinus communis,60-90,Africa
Catalpa,Catalpa speciosa,1825-3650,North America/Asia
Catnip,Nepeta cataria,60-90,Europe/Asia
Cattail,Typha latifolia,60-120,Northern Hemisphere
Cauliflower,Brassica oleracea var. botrytis,60-100,Mediterranean
Cayenne Pepper,Capsicum annuum,60-120,Central/South America
Cedar,Cedrus spp.,1825-3650,Europe/Asia/North America
Celandine,Chelidonium majus,60-90,Europe/Asia
Celandine Poppy,Stylophorum diphyllum,60-90,North America
Celeriac,Apium graveolens var. rapaceum,90-120,Mediterranean/Europe
Celery,Apium graveolens,85-120,Mediterranean
Celery Seed,Apium graveolens,90-120,Mediterranean/Europe
Celtuce,Lactuca sativa var. asparagina,70-90,China
Cereus,Cereus spp.,730-3650,Central & South America
Chamomile,Matricaria chamomilla,60,Europe/Western Asia
Chamomile (German),Matricaria chamomilla,60,Europe/Western Asia
Chard,Beta vulgaris subsp. cicla,50-60,Mediterranean
Chayote,Sechium edule,120-150,Central America
Cherimoya,Annona cherimola,730-1095,South America
Cherry,Prunus avium,1095-1825,Europe/Asia
Cherry Laurel,Prunus laurocerasus,365-730,Europe/Asia
Chervil,Anthriscus cerefolium,40-60,Europe/Western Asia
Chestnut,Castanea dentata,1460-2190,Northern Hemisphere (various)
Chestnut Oak,Quercus montana,1825-3650,Eastern United States
Chickpea,Cicer arietinum,90-100,Middle East/Asia
Chicory,Cichorium intybus,60-85,Europe/Mediterranean
Chicory (Witloof),Cichorium intybus var. foliosum,80-100,Europe
Chilean Hazelnut,Gevuina avellana,1460-2190,Chile/Argentina
Chili Pepper,Capsicum annuum,60-120,Central/South America
Chinaberry,Melia azedarach,365-730,Asia/Australia
Chinese Artichoke,Stachys affinis,60-90,China
Chinese Broccoli,Brassica oleracea var. alboglabra,50-60,China
Chinese Cabbage,Brassica rapa subsp. pekinensis,60-80,China
Chinese Chestnut,Castanea mollissima,1460-2190,China
Chinese Evergreen,Aglaonema commutatum,730-1095,Southeast Asia
Chinese Fan Palm,Livistona chinensis,730-1460,China/Taiwan
Chinese Mustard,Brassica juncea,45-60,China
Chinese Water Chestnut,Eleocharis dulcis,90-120,Asia
Chinese Yam,Dioscorea polystachya,180-210,China
Chinkapin Oak,Quercus muehlenbergii,1825-3650,Central/Eastern United States
Chives,Allium schoenoprasum,60-90,Europe/Asia
Cholla,Cylindropuntia spp.,365-730,Southwestern US/Mexico
Christmas Cactus,Schlumbergera bridgesii,90-180,Brazil
Christmas Rose,Helleborus niger,90-120,Europe/Asia
Chufa,Cyperus esculentus,120-150,Mediterranean/Africa
Chufa (Tiger Nut),Cyperus esculentus,120-150,Mediterranean/Africa
Cilantro,Coriandrum sativum,45-70,Mediterranean/South Europe
Cilantro (Coriander),Coriandrum sativum,45-70,Mediterranean/Southern Europe
Cinnamon,Cinnamomum verum,1095-1460,Sri Lanka/India
Clarkia,Clarkia amoena,60-90,Western North America
Clematis,Clematis spp.,365-730,Europe/Asia/North America
Climbing Hydrangea,Hydrangea anomala subsp. petiolaris,365-730,Asia
Climbing Lily,Gloriosa superba,90-120,Africa/Asia
Cloudberry,Rubus chamaemorus,365-730,Northern Europe/Asia/North America
Clove,Syzygium aromaticum,1825-2190,Maluku Islands (Indonesia)
Cobra Lily,Darlingtonia californica,730-1095,California/Oregon (USA)
Coleus,Plectranthus scutellarioides,60-90,Southeast Asia
Collard Greens,Brassica oleracea var. viridis,60-85,Eastern Mediterranean
Columbine,Aquilegia canadensis,60-90,Europe/North America
Comfrey,Symphytum officinale,60-90,Europe/Asia
Common Milkweed,Asclepias syriaca,365,North America
Common Persimmon,Diospyros virginiana,1825-2920,Eastern United States
Common Reed,Phragmites australis,365-730,Northern Hemisphere
Common Witchhazel,Hamamelis virginiana,365-730,North America
Coneflower,Echinacea purpurea,365-730,North America
Coral Bells,Heuchera americana,60-90,North America
Coral Tree,Erythrina crista-galli,60-90,South America
Coralberry,Symphoricarpos orbiculatus,365-730,North America
Coreopsis,Coreopsis tinctoria,70-100,North & South America
Coriander,Coriandrum sativum,60-90,Mediterranean/Southern Europe
Corn Plant,Dracaena fragrans,730-1460,Africa
Coryphantha ramillosa,Coryphantha ramillosa,60-90,Texas
Cosmos,Cosmos bipinnatus,60-90,Mexico/Central America
Costmary,Tanacetum balsamita,60-90,Eurasia
Cottonwood,Populus deltoides,1825-3650,North America
Crabapple,Malus spp.,730-1460,Europe/Asia/North America
Cress,Lepidium sativum,30-60,Europe/Asia
Crinum Lily,Crinum americanum,180-365,Africa/Asia
Crocus,Crocus spp.,90-120,Europe/Asia/North Africa
Crosne,Stachys affinis,60-90,China
Croton,Codiaeum variegatum,180-365,India/Malaysia/South Pacific
Crown Imperial,Fritillaria imperialis,90-120,Western Asia
Crown of Thorns,Euphorbia milii,180-365,Madagascar
Crown-of-Thorns,Euphorbia milii,180-365,Madagascar
Cuban Oregano,Plectranthus amboinicus,60-90,Africa/India
Cubeb Pepper,Piper cubeba,1095-1460,Java/Indonesia
Cucumber,Cucumis sativus,50-70,South Asia
Culantro,Eryngium foetidum,60-90,Central/South America
Culver’s Root,Veronicastrum virginicum,365-730,North America
Cumberland Rosemary,Conradina verticillata,60-90,Kentucky/Tennessee
Cumin,Cuminum cyminum,100-120,East Mediterranean to India
Cupuacu,Theobroma grandiflorum,730-1095,Amazon Basin
Currant,Ribes rubrum,365-730,Northern Europe/Asia
Custard Apple,Annona reticulata,730-1095,South America
Cypress,Cupressus spp.,1825-3650,Northern Hemisphere (various)
Cypress Vine,Ipomoea quamoclit,60-90,Central & South America
Daffodil,Narcissus pseudonarcissus,180-365,Europe/North Africa
Dahlia,Dahlia pinnata,90-120,Central America/Mexico
Daikon,Raphanus sativus var. longipinnatus,55-70,East Asia
Dandelion,Taraxacum officinale,60-120,Eurasia/North America
Daphne,Daphne mezereum,365-730,Europe/Asia
Date Palm,Phoenix dactylifera,1460-2190,Middle East/North Africa
Daylily,Hemerocallis spp.,90-120,Asia
Deadly Nightshade,Atropa belladonna,60-90,Europe/North Africa/West Asia
Delphinium,Delphinium spp.,90-120,Northern Hemisphere
Devil’s Ivy,Epipremnum aureum,180-365,Mo'orea/French Polynesia
Dieffenbachia,Dieffenbachia seguine,180-365,Tropical Americas
Dill,Anethum graveolens,40-60,Southwest Asia
Dogbane,Apocynum cannabinum,60-90,North America
Dogwood,Cornus florida,730-1095,Europe/Asia/North America
Doll’s Eyes,Actaea pachypoda,365,North America
Donkey Ear,Kalanchoe gastonis-bonnieri,180-365,Madagascar
Downy Serviceberry,Amelanchier arborea,365-730,North America
Dracaena,Dracaena spp.,365-730,Africa/South Asia
Dragon Tree,Dracaena draco,365-730,Canary Islands/Madeira
Duckweed,Lemna minor,14-21,Worldwide (various)
Dudleya,Dudleya spp.,180-365,Western North America
Dumb Cane,Dieffenbachia seguine,180-365,Tropical Americas
Dusty Miller,Jacobaea maritima,60-90,Mediterranean
Dutchman’s Breeches,Dicentra cucullaria,60-90,North America
Dutchman's Pipe,Aristolochia macrophylla,365-730,Americas
Dwarf Bear-poppy,Arctomecon humilis,60-90,Utah
Dwarf Fothergilla,Fothergilla gardenii,365-730,Southeastern United States
Dwarf Lake Iris,Iris lacustris,60-90,Great Lakes Region
Dwarf Wedgemussel,Alasmidonta heterodon,60-90,Eastern United States
Earthnut Pea,Lathyrus tuberosus,90-120,Europe/Asia
Easter Cactus,Hatiora gaertneri,90-120,Brazil
Easter Lily Cactus,Echinopsis oxygona,180-365,South America
Eastern Hemlock,Tsuga canadensis,1825-3650,Eastern North America
Eastern Redbud,Cercis canadensis,1460-2190,Eastern North America
Eastern White Pine,Pinus strobus,1825-3650,Eastern North America
Echeveria,Echeveria spp.,120-180,Central America/Mexico
Echinacea,Echinacea purpurea,365-730,Central & Eastern North America
Edamame,Glycine max,70-120,East Asia
Edible Canna,Canna indica,180-240,South America
Eggplant,Solanum melongena,60-80,India/Southeast Asia
Elderberry,Sambucus canadensis,730-1095,Europe/Americas
Elderberry (Red),Sambucus racemosa,730-1095,North America/Asia
Elephant Bush,Portulacaria afra,180-365,South Africa
Elephant Foot Yam,Amorphophallus paeoniifolius,180-240,Asia
Elephant Garlic,Allium ampeloprasum var. ampeloprasum,180-210,Europe
Elodea,Elodea canadensis,30-60,Americas
Endive,Cichorium endivia,85-100,Mediterranean
English Ivy,Hedera helix,365-730,Europe/Western Asia
English Walnut,Juglans regia,1825-3650,Eurasia
English Yew,Taxus baccata,1825-3650,Europe/Asia/North Africa
Epazote,Dysphania ambrosioides,60-90,Central America
Escarole,Cichorium endivia var. latifolium,85-100,Mediterranean
Etonia Rosemary,Conradina etonia,60-90,Florida
Euphorbia obesa,Euphorbia obesa,365-730,South Africa
European Chestnut,Castanea sativa,1460-2190,Europe
Evening Primrose,Oenothera biennis,60-120,Americas
Fairy Castle Cactus,Acanthocereus tetragonus,365-730,Mexico
False Hellebore,Veratrum viride,365,North America/Asia/Europe
False Indigo,Baptisia australis,1460,Central/Eastern North America
False Solomon’s Seal,Smilacina racemosa,365-730,North America/Asia
Fanwort,Cabomba caroliniana,30-60,Americas
Fava Bean,Vicia faba,75-90,Mediterranean
Feather Reed Grass,Calamagrostis x acutiflora,365-730,Europe/Asia
Feijoa (Pineapple Guava),Acca sellowiana,730-1095,South America
Fennel,Foeniculum vulgare,90-115,Mediterranean
Fenugreek,Trigonella foenum-graecum,60-90,Mediterranean/South Asia
Ferns (various),,180-365,Worldwide (various)
Feverfew,Tanacetum parthenium,60-90,Europe
Fiddle Leaf Fig,Ficus lyrata,730-1095,Western Africa
Fiddlehead Fern,Matteuccia struthiopteris,180-365,Northern Hemisphere (various)
Fig,Ficus carica,365-730,Western Asia/Mediterranean
Fingerroot,Boesenbergia rotunda,180-240,Southeast Asia
Fir,Abies spp.,1825-3650,Northern Hemisphere (various)
Firethorn,Pyracantha coccinea,90-120,Southern Europe/Asia
Fishhook Barrel Cactus,Ferocactus wislizeni,1825-3650,Southwestern US/Mexico
Floating Heart,Nymphoides peltata,60-90,Europe/Asia/Africa
Florence Fennel,Foeniculum vulgare,90-115,Mediterranean
Florida Torreya,Torreya taxifolia,60-90,Florida
Florida Ziziphus,Ziziphus celata,60-90,Florida
Flowering Dogwood,Cornus florida,730-1095,Eastern North America
Fool’s Parsley,Aethusa cynapium,60-90,Europe/Western Asia
Forget-me-not,Myosotis sylvatica,60-90,Europe/Asia
Forsythia,Forsythia × intermedia,365-730,Eastern Asia
Fountain Grass,Pennisetum alopecuroides,365-730,Africa
Four O'Clock,Mirabilis jalapa,60-90,South America
Four O’Clock,Mirabilis jalapa,60-90,South America
Foxglove,Digitalis purpurea,365-730,Europe
Fragrant Sumac,Rhus aromatica,365-730,North America
Fringed Campion,Silene polypetala,60-90,Eastern United States
Fritillaria,Fritillaria meleagris,90-120,Eurasia
Frogbit,Hydrocharis morsus-ranae,30-60,Europe/Asia
Gaillardia,Gaillardia pulchella,70-100,North & South America
Galangal,Alpinia galanga,365-730,Southeast Asia
Garden Cress,Lepidium sativum,20-30,Western Asia
Garden Phlox,Phlox paniculata,60-90,North America
Garlic,Allium sativum,90-120,Central Asia
Gasteria,Gasteria spp.,180-365,South Africa
Gaura,Oenothera lindheimeri,60-90,North America
Georgia Aster,Symphyotrichum georgianum,60-90,Georgia
Georgia Rockcress,Arabis georgiana,60-90,Georgia
Geranium,Geranium spp.,60-90,Europe/Asia/North America
Ghost Plant,Graptopetalum paraguayense,180-365,Mexico
Ginger,Zingiber officinale,365-730,Southeast Asia
Ginkgo,Ginkgo biloba,1825-3650,China
Globe Thistle,Echinops ritro,90-120,Europe/Asia
Glory Lily,Gloriosa superba,90-120,Africa/Asia
Gloxinia,Sinningia speciosa,60-90,Brazil
Goat’s Beard,Aruncus dioicus,60-90,Europe/Asia/North America
Gobo (Burdock Root),Arctium lappa,90-120,East Asia
Goji Berry,Lycium barbarum,365-730,Asia
Golden Alexander,Zizia aurea,60-90,Eastern North America
Golden Beet,Beta vulgaris,55-70,Europe/Western Asia
Golden Chain Tree,Laburnum anagyroides,365-730,Europe
Golden Club,Orontium aquaticum,60-90,Eastern United States
Golden Paintbrush,Castilleja levisecta,60-90,Pacific Northwest
Golden Ragwort,Packera aurea,60-90,North America
Goldenrod,Solidago canadensis,60-90,North America
Gooseberry,Ribes uva-crispa,365-730,Europe/Asia/North America
Grains of Paradise,Aframomum melegueta,1095-1460,West Africa
Grape,Vitis vinifera,730-1095,Near East/Central Asia
Grape Ivy,Parthenocissus tricuspidata,365-730,Central/South America
Graptopetalum paraguayense,Graptopetalum paraguayense,180-365,Northeast Mexico
Great Blue Lobelia,Lobelia siphilitica,365-730,North America
Greater Bladderwort,Utricularia vulgaris,30-90,Worldwide (aquatic/wetland areas)
Green Bean,Phaseolus vulgaris,50-60,Central/South America
Green Pitcher Plant,Sarracenia oreophila,730-1460,Southeastern United States
Ground Cherry,Physalis pruinosa,70-80,Americas
Groundnut,Apios americana,90-120,North America
Guava,Psidium guajava,730-1095,Central & South America
Habañero,Capsicum chinense,60-120,Central America
Hackberry,Celtis occidentalis,1825-3650,North America/Asia
Hamburg Parsley,Petroselinum crispum var. tuberosum,90-120,Europe
Hardy Kiwi,Actinidia arguta,1095-1460,East Asia
Harper's Beauty,Harperocallis flava,60-90,Florida
Harperella,Ptilimnium nodosum,60-90,Southeastern United States
Hawaiian Hibiscus,Hibiscus arnottianus,60-90,Hawaii
Haworthia,Haworthia spp.,180-365,South Africa
Heartleaf Philodendron,Philodendron hederaceum,180-365,Central America/Caribbean
Heartnut,Juglans ailantifolia var. cordiformis,1460-2190,Japan
Hedgehog Cactus,Echinocereus spp.,365-730,Southwestern US/Mexico
Hellebore,Helleborus orientalis,365-730,Europe/Asia
Hens and Chicks,Sempervivum tectorum,90-180,Europe
Hibiscus,Hibiscus rosa-sinensis,90-120,Asia
Hickory,Carya spp.,1825-3650,North America/Asia
Holly,Ilex aquifolium,1825-3650,Europe/Asia/North America
Hollyhock,Alcea rosea,90-120,Asia/Europe
Honey Locust,Gleditsia triacanthos,1825-3650,Central North America
Honeydew,Cucumis melo,80-100,West Africa
Honeysuckle Vine,Lonicera spp.,365-730,Northern Hemisphere (various)
Hophornbeam,Ostrya virginiana,1825-3650,North America/Eurasia
Horehound,Marrubium vulgare,60-90,Europe/Asia/North Africa
Hornwort,Ceratophyllum demersum,21-30,Worldwide (various)
Horse Chestnut,Aesculus hippocastanum,1825-3650,Southeast Europe
Horseradish,Armoracia rusticana,365-730,Europe/Western Asia
Horsetail,Equisetum arvense,60-120,Worldwide (various)
Hosta,Hosta spp.,180-365,East Asia
Houghton’s Goldenrod,Solidago houghtonii,60-90,Great Lakes Region
Huckleberry,Gaylussacia spp.,730-1095,North America
Hyacinth,Hyacinthus orientalis,90-120,Eastern Mediterranean
Hydrangea,Hydrangea macrophylla,365-730,Asia/Americas
Hyssop,Hyssopus officinalis,70-90,Southern Europe
Ice Plant,Delosperma cooperi,60-90,Southern Africa
Impatiens,Impatiens walleriana,60-90,East Africa
Indian Grass,Sorghastrum nutans,365-730,North America
Indian Jujube,Ziziphus mauritiana,365-730,South Asia
Indian Lotus,Nelumbo nucifera,90-120,Asia
Indian Pink,Spigelia marilandica,60-90,North America
Indian Potato,Apios americana,120-180,North America
Inkberry,Ilex glabra,365-730,North America
Iris,Iris germanica,90-120,Northern Hemisphere (various)
Ironweed,Vernonia noveboracensis,60-120,North America
Ironwood,Olneya tesota,1825-3650,North America
Jaboticaba,Plinia cauliflora,730-1095,Brazil
Jack-in-the-pulpit,Arisaema triphyllum,365-730,Eastern North America
Jackfruit,Artocarpus heterophyllus,1460-2190,South Asia
Jacob’s Ladder,Polemonium caeruleum,60-90,Europe/Asia/North America
Jade Plant,Crassula ovata,180-365,South Africa
Jalapeño,Capsicum annuum,60-80,Mexico
Japanese Forest Grass,Hakonechloa macra,365-730,Japan
Japanese Walnut,Juglans ailantifolia,1825-3650,Japan
Japanese Yew,Taxus cuspidata,1825-3650,Japan/Asia
Java Moss,Vesicularia dubyana,21-30,Southeast Asia
Jerusalem Artichoke,Helianthus tuberosus,120-150,North America
Jerusalem Cherry,Solanum pseudocapsicum,60-90,South America
Jessamine,Gelsemium sempervirens,90-120,Europe/Asia
Jesup’s Milkvetch,Astragalus robbinsii var. jesupii,60-90,Northeastern United States
Jicama,Pachyrhizus erosus,150-180,Central America
Jícama,Pachyrhizus erosus,150-180,Central America
Jimsonweed,Datura stramonium,60-90,Central America
Joe-Pye Weed,Eutrochium purpureum,60-120,North America
Jujube,Ziziphus jujuba,365-730,China
Juniper,Juniperus communis,1825-3650,Northern Hemisphere (various)
Kaffir Lime,Citrus hystrix,1095-1460,Southeast Asia
